"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1735";"    59.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2009";"     338";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2010";"     353";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2011";"     356";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2012";"     313";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2013";"     298";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2014";"     302";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2015";"     320";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2016";"     313";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2017";"     309";"    68.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2018";"     312";"    68.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2019";"     318";"    68.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2020";"     322";"    65.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2021";"     317";"    66.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2022";"     333";"    67.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Farmacie";"2023*";"     340";"    67.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
